65,Isaiah Briscoe\briscis01,PG,22,ORL,34,0,455,42,109,.385,10,27,.370,32,82,.390,.431,9,18,.500,2,58,60,75,8,1,24,55,103
66,Ryan Broekhoff\broekry01,SG,28,DAL,26,0,209,28,63,.444,19,49,.388,9,14,.643,.595,2,2,1.000,3,24,27,14,2,3,5,15,77
67,Malcolm Brogdon\brogdma01,SG,26,MIL,53,53,1548,317,627,.506,80,196,.408,237,431,.550,.569,121,129,.938,54,198,252,175,39,12,80,86,835
68,Dillon Brooks\brookdi01,SF,23,MEM,18,0,330,49,122,.402,15,40,.375,34,82,.415,.463,22,30,.733,9,22,31,16,10,4,19,50,135
69,MarShon Brooks\brookma01,SG,30,MEM,29,0,387,76,169,.450,15,54,.278,61,115,.530,.494,23,33,.697,12,33,45,25,9,4,21,33,190
70,Bruce Brown\brownbr01,SG,22,DET,49,31,970,89,231,.385,19,71,.268,70,160,.438,.426,31,45,.689,33,100,133,64,21,23,35,123,228
71,Jaylen Brown\brownja02,SG,22,BOS,53,23,1376,258,573,.450,62,196,.316,196,377,.520,.504,96,141,.681,53,174,227,71,49,26,72,138,674
72,Lorenzo Brown\brownlo01,PG,28,TOR,26,0,212,23,71,.324,6,28,.214,17,43,.395,.366,3,3,1.000,5,26,31,28,12,5,16,22,55
73,Sterling Brown\brownst02,SG,23,MIL,46,0,745,95,210,.452,40,110,.364,55,100,.550,.548,18,25,.720,24,109,133,58,18,5,31,63,248
74,Troy Brown\browntr01,SF,19,WAS,29,0,208,26,65,.400,4,15,.267,22,50,.440,.431,14,21,.667,5,34,39,27,8,1,8,16,70
75,Jalen Brunson\brunsja01,PG,22,DAL,49,16,887,130,301,.432,31,90,.344,99,211,.469,.483,40,60,.667,14,86,100,119,23,2,47,69,331
76,Thomas Bryant\bryanth01,C,21,WAS,48,42,916,192,301,.638,18,47,.383,174,254,.685,.668,62,76,.816,67,208,275,54,16,38,33,75,464
77,Reggie Bullock\bullore01,SG,27,TOT,46,46,1421,189,457,.414,117,302,.387,72,155,.465,.542,56,64,.875,20,109,129,113,27,8,55,82,551
77,Reggie Bullock\bullore01,SG,27,DET,44,44,1355,182,441,.413,114,294,.388,68,147,.463,.542,56,64,.875,20,103,123,109,24,5,54,79,534
77,Reggie Bullock\bullore01,SG,27,LAL,2,2,66,7,16,.438,3,8,.375,4,8,.500,.531,0,0,,0,6,6,4,3,3,1,3,17
78,Trey Burke\burketr01,PG,26,TOT,38,7,763,159,384,.414,35,96,.365,124,288,.431,.460,69,83,.831,17,52,69,105,27,5,37,39,422
78,Trey Burke\burketr01,PG,26,NYK,33,7,689,148,358,.413,30,86,.349,118,272,.434,.455,62,75,.827,15,47,62,94,21,5,29,33,388
78,Trey Burke\burketr01,PG,26,DAL,5,0,74,11,26,.423,5,10,.500,6,16,.375,.519,7,8,.875,2,5,7,11,6,0,8,6,34
79,Alec Burks\burksal01,SG,27,TOT,54,24,1291,187,460,.407,61,163,.374,126,297,.424,.473,113,137,.825,29,193,222,121,32,20,62,84,548
79,Alec Burks\burksal01,SG,27,UTA,17,0,269,47,114,.412,16,43,.372,31,71,.437,.482,33,38,.868,2,25,27,20,6,4,15,22,143
79,Alec Burks\burksal01,SG,27,CLE,34,24,979,136,340,.400,45,119,.378,91,221,.412,.466,79,98,.806,26,160,186,98,25,16,46,62,396
79,Alec Burks\burksal01,SG,27,SAC,3,0,43,4,6,.667,0,1,.000,4,5,.800,.667,1,1,1.000,1,8,9,3,1,0,1,0,9
80,Deonte Burton\burtode02,SG,25,OKC,20,0,187,28,60,.467,7,20,.350,21,40,.525,.525,6,8,.750,3,18,21,7,4,8,8,25,69
81,Jimmy Butler\butleji01,SF-SG,29,TOT,46,46,1540,310,643,.482,56,151,.371,254,492,.516,.526,214,249,.859,76,157,233,180,94,27,63,79,890
